id;code;name;category_id;supplier_id;buy_price;sell_price;photo;photo_content_type;created_by
1;Generic Steel Tuna;website calculating;1;1;38757;32433;../fake-data/blob/hipster.png;image/png;Consultant virtual wireless
2;reboot;Dynamic magenta Track;1;1;6602;88209;../fake-data/blob/hipster.png;image/png;Unbranded Centers
3;Credit Card Account;networks infomediaries;1;1;9654;32061;../fake-data/blob/hipster.png;image/png;Democratic People's Republic of Korea Internal compressing
4;initiative green;Malagasy Ariary Gloves;1;1;16516;29161;../fake-data/blob/hipster.png;image/png;Small Wooden Bike Licensed Wooden Computer Oklahoma
5;orange Security;Data Identity;1;1;5444;80377;../fake-data/blob/hipster.png;image/png;JSON
6;Personal Loan Account yellow;Cape Verde;1;1;52784;27331;../fake-data/blob/hipster.png;image/png;withdrawal Rubber
7;Liaison;Keyboard;1;1;46377;5902;../fake-data/blob/hipster.png;image/png;black
8;Checking Account methodical optical;Cheese rich multi-byte;1;1;90340;80952;../fake-data/blob/hipster.png;image/png;open-source
9;Fantastic;Sleek Soft Sausages Practical;1;1;95618;19864;../fake-data/blob/hipster.png;image/png;wireless navigate grey
10;backing up;Massachusetts Checking Account Gorgeous Fresh Ball;1;1;93852;5859;../fake-data/blob/hipster.png;image/png;deposit
